iter,loss,event_time,event_times
0,0.010712611157157192,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
1,0.0106907121847971,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
2,0.010677789377526798,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
3,0.010672609062236804,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
4,0.010672779309203873,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
5,0.010674985090330463,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
6,0.010676552591185048,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
7,0.010676360840556428,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
8,0.010674550290795228,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
9,0.010671889490104483,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
10,0.010669248354360556,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
11,0.010667265239636065,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
12,0.010666219458860116,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
13,0.010666082943448223,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
14,0.01066656131925445,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
15,0.010667240194979569,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
16,0.010667713214691562,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
17,0.01066774574404182,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
18,0.010667321151628209,2,"[tensor(0.4286, device='cuda:0'), tensor(20.9088, device='cuda:0')]"
