1.0
 
[-4.72920026e-03 -1.99979546e+01],[ 2.25056819e-03 -1.99980042e+01],[-1.80021549e-02 -1.99949848e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75       0.26044298],[0.66406246 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406242 0.41390854]
[0.34999996 0.22907279],[0.75000002 0.26032276],[0.66406236 0.41383842]
[0.34999994 0.22898261],[0.75000003 0.26023258],[0.66406228 0.41374826]
[0.34999991 0.22887241],[0.75000004 0.26012237],[0.66406218 0.41363807]
[0.34999988 0.22874216],[0.75000006 0.25999213],[0.66406206 0.41350784]
[0.34999985 0.22859187],[0.75000007 0.25984184],[0.66406192 0.41335758]
[0.34999981 0.22842155],[0.75000009 0.25967152],[0.66406177 0.41318728]
[0.34999976 0.22823119],[0.75000011 0.25948116],[0.6640616  0.41299695]
[0.34999971 0.22802079],[0.75000014 0.25927076],[0.66406141 0.41278658]
[0.34999966 0.22779035],[0.75000016 0.25904032],[0.66406121 0.41255618]
[0.3499996  0.22753988],[0.75000019 0.25878984],[0.66406098 0.41230574]
[0.34999954 0.22726936],[0.75000022 0.25851933],[0.66406074 0.41203526]
[0.34999947 0.22697881],[0.75000025 0.25822878],[0.66406048 0.41174476]
[0.3499994  0.22666822],[0.75000029 0.25791819],[0.6640602  0.41143421]
[0.34999932 0.2263376 ],[0.75000032 0.25758756],[0.6640599  0.41110363]
[0.34999923 0.22598693],[0.75000036 0.25723689],[0.66405959 0.41075302]
[0.34999915 0.22561623],[0.75000041 0.25686619],[0.66405925 0.41038237]
[0.34999905 0.22522549],[0.75000045 0.25647545],[0.6640589  0.40999169]
[0.34999896 0.22481471],[0.7500005  0.25606467],[0.66405853 0.40958097]
[0.34999886 0.22438389],[0.75000054 0.25563385],[0.66405815 0.40915022]
[0.34999875 0.22393303],[0.75000059 0.25518299],[0.66405774 0.40869943]
[0.34999864 0.22346214],[0.75000065 0.2547121 ],[0.66405732 0.40822861]
[0.34999852 0.22297121],[0.7500007  0.25422116],[0.66405688 0.40773775]
[0.3499984  0.22246024],[0.75000076 0.25371019],[0.66405642 0.40722685]
[0.34999828 0.22192923],[0.75000082 0.25317918],[0.66405594 0.40669592]
[0.34999815 0.22137819],[0.75000088 0.25262814],[0.66405545 0.40614496]
[0.34999801 0.2208071 ],[0.75000095 0.25205705],[0.66405494 0.40557396]
[0.34999787 0.22021598],[0.75000101 0.25146593],[0.66405441 0.40498293]
[0.34999773 0.21960482],[0.75000108 0.25085477],[0.66405386 0.40437186]
[0.34999758 0.21897363],[0.75000115 0.25022357],[0.66405329 0.40374075]
[0.34999743 0.21832239],[0.75000122 0.24957233],[0.66405271 0.40308961]
[0.34999727 0.21765112],[0.7500013  0.24890106],[0.66405211 0.40241844]
[0.34999711 0.2169598 ],[0.75000138 0.24820974],[0.66405148 0.40172723]
[0.34999694 0.21624845],[0.75000146 0.24749839],[0.66405085 0.40101599]
[0.34999676 0.21551707],[0.75000154 0.246767  ],[0.66405019 0.40028471]
[0.34999659 0.21476564],[0.75000162 0.24601558],[0.66404952 0.39953339]
[0.34999641 0.21399418],[0.75000171 0.24524411],[0.66404882 0.39876204]
[0.34999622 0.21320268],[0.7500018  0.24445261],[0.66404811 0.39797066]
[0.34999603 0.21239114],[0.75000189 0.24364106],[0.66404738 0.39715924]
[0.34999583 0.21155956],[0.75000198 0.24280948],[0.66404664 0.39632778]
[0.34999563 0.21070794],[0.75000208 0.24195787],[0.66404587 0.39547629]
[0.34999543 0.20983629],[0.75000218 0.24108621],[0.66404509 0.39460477]
[0.34999521 0.2089446 ],[0.75000228 0.24019452],[0.66404429 0.39371321]
