1.0
 
[-8.24563114e-03 -1.99960098e+01],[ 4.05502747e-03 -1.99960600e+01],[ -0.03308563 -19.99019273]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406248 0.41398868]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406243 0.41395864]
[0.34999996 0.22914293],[0.75000002 0.2603929 ],[0.66406235 0.41390856]
[0.34999993 0.2290728 ],[0.75000003 0.26032277],[0.66406224 0.41383846]
[0.3499999  0.22898264],[0.75000005 0.26023261],[0.66406209 0.41374832]
[0.34999985 0.22887244],[0.75000007 0.26012241],[0.6640619  0.41363816]
[0.3499998  0.22874221],[0.7500001  0.25999218],[0.66406169 0.41350796]
[0.34999974 0.22859194],[0.75000013 0.2598419 ],[0.66406144 0.41335773]
[0.34999967 0.22842163],[0.75000016 0.2596716 ],[0.66406116 0.41318747]
[0.34999959 0.22823129],[0.7500002  0.25948125],[0.66406085 0.41299719]
[0.3499995  0.22802091],[0.75000025 0.25927087],[0.6640605  0.41278687]
[0.34999941 0.22779049],[0.75000029 0.25904046],[0.66406012 0.41255652]
[0.3499993  0.22754004],[0.75000034 0.25879001],[0.6640597  0.41230614]
[0.34999919 0.22726956],[0.7500004  0.25851952],[0.66405926 0.41203574]
[0.34999907 0.22697903],[0.75000046 0.258229  ],[0.66405878 0.4117453 ]
[0.34999894 0.22666847],[0.75000052 0.25791844],[0.66405826 0.41143483]
[0.34999881 0.22633788],[0.75000059 0.25758784],[0.66405772 0.41110433]
[0.34999866 0.22598725],[0.75000066 0.25723721],[0.66405714 0.4107538 ]
[0.34999851 0.22561658],[0.75000073 0.25686654],[0.66405653 0.41038324]
[0.34999835 0.22522588],[0.75000081 0.25647584],[0.66405588 0.40999265]
[0.34999818 0.22481514],[0.75000089 0.2560651 ],[0.6640552  0.40958203]
[0.349998   0.22438436],[0.75000098 0.25563432],[0.66405449 0.40915138]
[0.34999782 0.22393355],[0.75000107 0.25518351],[0.66405375 0.4087007 ]
[0.34999762 0.2234627 ],[0.75000117 0.25471266],[0.66405297 0.40822999]
[0.34999742 0.22297182],[0.75000127 0.25422177],[0.66405216 0.40773925]
[0.34999721 0.2224609 ],[0.75000137 0.25371085],[0.66405131 0.40722848]
[0.34999699 0.22192994],[0.75000148 0.25317989],[0.66405044 0.40669767]
[0.34999677 0.22137895],[0.75000159 0.2526289 ],[0.66404953 0.40614684]
[0.34999653 0.22080792],[0.75000171 0.25205787],[0.66404858 0.40557598]
[0.34999629 0.22021686],[0.75000183 0.25146681],[0.66404761 0.40498509]
[0.34999604 0.21960576],[0.75000195 0.2508557 ],[0.6640466  0.40437416]
[0.34999578 0.21897462],[0.75000208 0.25022457],[0.66404555 0.40374321]
[0.34999551 0.21832345],[0.75000221 0.24957339],[0.66404448 0.40309223]
[0.34999523 0.21765224],[0.75000234 0.24890218],[0.66404337 0.40242122]
[0.34999495 0.216961  ],[0.75000248 0.24821094],[0.66404223 0.40173017]
[0.34999465 0.21624972],[0.75000263 0.24749965],[0.66404105 0.4010191 ]
[0.34999435 0.2155184 ],[0.75000278 0.24676834],[0.66403984 0.40028799]
[0.34999404 0.21476705],[0.75000293 0.24601698],[0.6640386  0.39953686]
[0.34999373 0.21399566],[0.75000309 0.24524559],[0.66403733 0.39876569]
[0.3499934  0.21320423],[0.75000325 0.24445416],[0.66403602 0.3979745 ]
[0.34999307 0.21239277],[0.75000341 0.2436427 ],[0.66403468 0.39716327]
[0.34999272 0.21156128],[0.75000358 0.2428112 ],[0.66403331 0.39633202]
[0.34999237 0.21070974],[0.75000375 0.24195967],[0.6640319  0.39548073]
[0.34999201 0.20983818],[0.75000393 0.2410881 ],[0.66403046 0.39460942]
[0.34999165 0.20894657],[0.75000411 0.24019649],[0.66402899 0.39371807]
