1.0
 
[-8.37121674e-03 -1.99959403e+01],[ 4.11945306e-03 -1.99959905e+01],[ -0.0336242  -19.99002161]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406248 0.41398868]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406243 0.41395864]
[0.34999996 0.22914293],[0.75000002 0.2603929 ],[0.66406235 0.41390856]
[0.34999993 0.2290728 ],[0.75000003 0.26032277],[0.66406223 0.41383846]
[0.3499999  0.22898264],[0.75000005 0.26023261],[0.66406208 0.41374832]
[0.34999985 0.22887244],[0.75000007 0.26012241],[0.66406189 0.41363816]
[0.34999979 0.22874221],[0.7500001  0.25999218],[0.66406168 0.41350796]
[0.34999973 0.22859194],[0.75000013 0.25984191],[0.66406142 0.41335774]
[0.34999966 0.22842163],[0.75000017 0.2596716 ],[0.66406114 0.41318748]
[0.34999958 0.22823129],[0.75000021 0.25948126],[0.66406082 0.4129972 ]
[0.34999949 0.22802091],[0.75000025 0.25927088],[0.66406046 0.41278688]
[0.3499994 0.2277905],[0.7500003  0.25904046],[0.66406008 0.41255653]
[0.34999929 0.22754005],[0.75000035 0.25879001],[0.66405966 0.41230616]
[0.34999918 0.22726956],[0.7500004  0.25851953],[0.6640592  0.41203575]
[0.34999906 0.22697904],[0.75000046 0.258229  ],[0.66405872 0.41174532]
[0.34999893 0.22666848],[0.75000053 0.25791845],[0.66405819 0.41143485]
[0.34999879 0.22633789],[0.7500006  0.25758785],[0.66405764 0.41110435]
[0.34999864 0.22598726],[0.75000067 0.25723722],[0.66405705 0.41075383]
[0.34999849 0.22561659],[0.75000074 0.25686655],[0.66405643 0.41038327]
[0.34999832 0.22522589],[0.75000082 0.25647585],[0.66405577 0.40999268]
[0.34999815 0.22481515],[0.75000091 0.25606511],[0.66405508 0.40958207]
[0.34999797 0.22438438],[0.750001   0.25563434],[0.66405436 0.40915142]
[0.34999778 0.22393357],[0.75000109 0.25518352],[0.6640536  0.40870074]
[0.34999759 0.22346272],[0.75000119 0.25471268],[0.66405281 0.40823004]
[0.34999738 0.22297184],[0.75000129 0.25422179],[0.66405199 0.4077393 ]
[0.34999717 0.22246092],[0.75000139 0.25371088],[0.66405113 0.40722853]
[0.34999695 0.22192997],[0.7500015  0.25317992],[0.66405024 0.40669774]
[0.34999672 0.22137898],[0.75000162 0.25262893],[0.66404931 0.40614691]
[0.34999648 0.22080795],[0.75000173 0.2520579 ],[0.66404836 0.40557605]
[0.34999623 0.22021689],[0.75000185 0.25146684],[0.66404736 0.40498516]
[0.34999598 0.21960579],[0.75000198 0.25085574],[0.66404634 0.40437425]
[0.34999571 0.21897466],[0.75000211 0.2502246 ],[0.66404528 0.4037433 ]
[0.34999544 0.21832349],[0.75000224 0.24957343],[0.66404418 0.40309232]
[0.34999516 0.21765228],[0.75000238 0.24890222],[0.66404306 0.40242131]
[0.34999487 0.21696104],[0.75000252 0.24821098],[0.6640419  0.40173028]
[0.34999457 0.21624976],[0.75000267 0.2474997 ],[0.6640407  0.40101921]
[0.34999427 0.21551845],[0.75000282 0.24676838],[0.66403948 0.40028811]
[0.34999395 0.2147671 ],[0.75000298 0.24601703],[0.66403821 0.39953698]
[0.34999363 0.21399571],[0.75000313 0.24524564],[0.66403692 0.39876583]
[0.3499933  0.21320429],[0.7500033  0.24445422],[0.66403559 0.39797464]
[0.34999296 0.21239283],[0.75000346 0.24364276],[0.66403423 0.39716342]
[0.34999261 0.21156134],[0.75000363 0.24281126],[0.66403283 0.39633217]
[0.34999226 0.21070981],[0.75000381 0.24195973],[0.6640314  0.39548089]
[0.34999189 0.20983824],[0.75000399 0.24108816],[0.66402994 0.39460958]
[0.34999152 0.20894664],[0.75000417 0.24019656],[0.66402844 0.39371825]
