0.07185870504974806,1.0
 
[-1.25637521e-05 -1.99999930e+01],[ 3.76577176e-05 -2.00001009e+01],[-2.71748846e-04 -2.00001495e+01]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.6640625  0.41398868]
[0.35       0.22919301],[0.75       0.26044298],[0.6640625  0.41395862]
[0.35       0.22914291],[0.75       0.26039288],[0.6640625  0.41390852]
[0.35       0.22907277],[0.75       0.26032274],[0.6640625  0.41383838]
[0.35       0.22898259],[0.75       0.26023256],[0.6640625 0.4137482]
[0.35       0.22887237],[0.75       0.26012234],[0.6640625  0.41363798]
[0.35       0.22874211],[0.75       0.25999208],[0.6640625  0.41350772]
[0.35       0.22859181],[0.75       0.25984178],[0.6640625  0.41335742]
[0.35       0.22842147],[0.75       0.25967144],[0.6640625  0.41318708]
[0.35       0.22823109],[0.75       0.25948106],[0.6640625 0.4129967]
[0.35       0.22802067],[0.75       0.25927064],[0.6640625  0.41278628]
[0.35       0.22779021],[0.75       0.25904018],[0.6640625  0.41255582]
[0.35      0.2275397],[0.75       0.25878967],[0.6640625  0.41230531]
[0.35       0.22726916],[0.75       0.25851913],[0.6640625  0.41203477]
[0.35       0.22697858],[0.75       0.25822855],[0.6640625  0.41174419]
[0.35       0.22666796],[0.75       0.25791793],[0.6640625  0.41143357]
[0.35      0.2263373],[0.75       0.25758727],[0.6640625  0.41110291]
[0.35      0.2259866],[0.75       0.25723657],[0.6640625  0.41075221]
[0.35       0.22561586],[0.75       0.25686583],[0.6640625  0.41038147]
[0.35       0.22522508],[0.75       0.25647505],[0.6640625  0.40999069]
[0.35       0.22481426],[0.75       0.25606423],[0.6640625  0.40957987]
[0.35      0.2243834],[0.75       0.25563337],[0.6640625  0.40914901]
[0.35       0.22393249],[0.75       0.25518246],[0.6640625 0.4086981]
[0.35       0.22346155],[0.75       0.25471152],[0.6640625  0.40822716]
[0.35       0.22297057],[0.75       0.25422054],[0.6640625  0.40773618]
[0.35       0.22245955],[0.75       0.25370952],[0.6640625  0.40722516]
[0.35       0.22192849],[0.75       0.25317846],[0.6640625 0.4066941]
[0.35       0.22137739],[0.75       0.25262736],[0.6640625 0.406143 ]
[0.35       0.22080624],[0.75       0.25205621],[0.6640625  0.40557185]
[0.35       0.22021506],[0.75       0.25146503],[0.6640625  0.40498067]
[0.35       0.21960384],[0.75       0.25085381],[0.6640625  0.40436945]
[0.35       0.21897258],[0.75       0.25022255],[0.6640625  0.40373819]
[0.35       0.21832128],[0.75       0.24957125],[0.6640625  0.40308689]
[0.35       0.21764994],[0.75       0.24889991],[0.6640625  0.40241555]
[0.35       0.21695855],[0.75       0.24820852],[0.6640625  0.40172416]
[0.35       0.21624713],[0.75      0.2474971],[0.6640625  0.40101274]
[0.35       0.21551567],[0.75       0.24676564],[0.6640625  0.40028128]
[0.35       0.21476417],[0.75       0.24601414],[0.6640625  0.39952978]
[0.35       0.21399262],[0.75       0.24524259],[0.6640625  0.39875823]
[0.35       0.21320104],[0.75       0.24445101],[0.6640625  0.39796665]
[0.35       0.21238942],[0.75       0.24363939],[0.6640625  0.39715503]
[0.35       0.21155776],[0.75       0.24280773],[0.6640625  0.39632337]
[0.35       0.21070605],[0.75       0.24195602],[0.6640625  0.39547166]
[0.35       0.20983431],[0.75       0.24108428],[0.6640625  0.39459992]
[0.35       0.20894253],[0.75      0.2401925],[0.6640625  0.39370814]
[0.35       0.20803071],[0.75       0.23928068],[0.6640625  0.39279632]
[0.35       0.20709884],[0.75       0.23834881],[0.6640625  0.39186445]
[0.35       0.20614694],[0.75       0.23739691],[0.6640625  0.39091255]
[0.35     0.205175],[0.75       0.23642497],[0.6640625  0.38994061]
[0.35       0.20418301],[0.75       0.23543298],[0.6640625  0.38894862]
