1.0
 
[-5.35720366e-03 -1.99976073e+01],[ 2.57272635e-03 -1.99976570e+01],[ -0.02069609 -19.994129  ]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406249 0.41398868]
[0.34999999 0.22919301],[0.75000001 0.26044298],[0.66406246 0.41395863]
[0.34999998 0.22914292],[0.75000001 0.26039289],[0.66406241 0.41390855]
[0.34999996 0.22907279],[0.75000002 0.26032276],[0.66406233 0.41383843]
[0.34999993 0.22898262],[0.75000003 0.26023259],[0.66406224 0.41374827]
[0.3499999  0.22887241],[0.75000005 0.26012238],[0.66406213 0.41363808]
[0.34999987 0.22874217],[0.75000006 0.25999214],[0.66406199 0.41350786]
[0.34999983 0.22859188],[0.75000008 0.25984185],[0.66406184 0.41335761]
[0.34999978 0.22842156],[0.7500001  0.25967153],[0.66406166 0.41318732]
[0.34999973 0.22823121],[0.75000013 0.25948117],[0.66406147 0.41299699]
[0.34999968 0.22802081],[0.75000016 0.25927078],[0.66406125 0.41278663]
[0.34999961 0.22779038],[0.75000019 0.25904034],[0.66406101 0.41255624]
[0.34999955 0.22753991],[0.75000022 0.25878987],[0.66406075 0.41230581]
[0.34999948 0.2272694 ],[0.75000025 0.25851936],[0.66406047 0.41203535]
[0.3499994  0.22697885],[0.75000029 0.25822882],[0.66406017 0.41174485]
[0.34999931 0.22666827],[0.75000033 0.25791823],[0.66405985 0.41143432]
[0.34999923 0.22633765],[0.75000037 0.25758761],[0.66405951 0.41110376]
[0.34999913 0.22598699],[0.75000042 0.25723695],[0.66405915 0.41075316]
[0.34999903 0.22561629],[0.75000046 0.25686625],[0.66405877 0.41038253]
[0.34999893 0.22522556],[0.75000051 0.25647552],[0.66405836 0.40999186]
[0.34999882 0.22481478],[0.75000057 0.25606474],[0.66405794 0.40958116]
[0.3499987  0.22438397],[0.75000062 0.25563393],[0.66405749 0.40915042]
[0.34999858 0.22393313],[0.75000068 0.25518308],[0.66405703 0.40869966]
[0.34999846 0.22346224],[0.75000074 0.2547122 ],[0.66405654 0.40822885]
[0.34999833 0.22297132],[0.7500008  0.25422127],[0.66405604 0.40773801]
[0.34999819 0.22246036],[0.75000087 0.25371031],[0.66405551 0.40722714]
[0.34999805 0.22192936],[0.75000094 0.25317931],[0.66405496 0.40669624]
[0.3499979  0.22137832],[0.75000101 0.25262827],[0.66405439 0.4061453 ]
[0.34999775 0.22080725],[0.75000108 0.2520572 ],[0.6640538  0.40557432]
[0.34999759 0.22021614],[0.75000116 0.25146609],[0.66405319 0.40498331]
[0.34999743 0.21960499],[0.75000124 0.25085494],[0.66405256 0.40437227]
[0.34999726 0.2189738 ],[0.75000132 0.25022375],[0.66405191 0.40374119]
[0.34999708 0.21832258],[0.7500014  0.24957252],[0.66405124 0.40309008]
[0.3499969  0.21765132],[0.75000149 0.24890126],[0.66405054 0.40241894]
[0.34999672 0.21696002],[0.75000157 0.24820996],[0.66404983 0.40172776]
[0.34999653 0.21624868],[0.75000167 0.24749862],[0.6640491  0.40101654]
[0.34999633 0.21551731],[0.75000176 0.24676724],[0.66404834 0.40028529]
[0.34999613 0.21476589],[0.75000186 0.24601583],[0.66404757 0.39953401]
[0.34999593 0.21399444],[0.75000196 0.24524437],[0.66404677 0.3987627 ]
[0.34999572 0.21320295],[0.75000206 0.24445288],[0.66404595 0.39797134]
[0.3499955  0.21239143],[0.75000216 0.24364136],[0.66404512 0.39715996]
[0.34999528 0.21155987],[0.75000227 0.24280979],[0.66404426 0.39632854]
[0.34999505 0.21070826],[0.75000238 0.24195819],[0.66404338 0.39547709]
[0.34999482 0.20983663],[0.75000249 0.24108655],[0.66404248 0.3946056 ]
[0.34999458 0.20894495],[0.7500026  0.24019487],[0.66404156 0.39371408]
