1.0
 
[-9.12466475e-03 -1.99955236e+01],[ 4.50616031e-03 -1.99955739e+01],[ -0.03685552 -19.9889949 ]
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.35       0.22922307],[0.75       0.26047304],[0.66406248 0.41398869]
[0.34999998 0.22919302],[0.75000001 0.26044299],[0.66406243 0.41395864]
[0.34999996 0.22914293],[0.75000002 0.2603929 ],[0.66406233 0.41390857]
[0.34999993 0.22907281],[0.75000004 0.26032277],[0.6640622  0.41383847]
[0.34999989 0.22898265],[0.75000006 0.26023261],[0.66406204 0.41374834]
[0.34999984 0.22887245],[0.75000008 0.26012242],[0.66406184 0.41363818]
[0.34999978 0.22874222],[0.75000011 0.25999219],[0.6640616  0.41350799]
[0.34999971 0.22859195],[0.75000014 0.25984192],[0.66406132 0.41335777]
[0.34999963 0.22842165],[0.75000018 0.25967162],[0.66406101 0.41318752]
[0.34999954 0.22823131],[0.75000023 0.25948128],[0.66406066 0.41299725]
[0.34999945 0.22802094],[0.75000027 0.2592709 ],[0.66406027 0.41278694]
[0.34999934 0.22779053],[0.75000032 0.25904049],[0.66405984 0.41255661]
[0.34999923 0.22754008],[0.75000038 0.25879005],[0.66405938 0.41230625]
[0.34999911 0.2272696 ],[0.75000044 0.25851957],[0.66405889 0.41203585]
[0.34999897 0.22697909],[0.75000051 0.25822905],[0.66405835 0.41174543]
[0.34999883 0.22666854],[0.75000058 0.2579185 ],[0.66405778 0.41143498]
[0.34999868 0.22633795],[0.75000065 0.25758791],[0.66405717 0.4111045 ]
[0.34999852 0.22598733],[0.75000073 0.25723729],[0.66405653 0.41075399]
[0.34999835 0.22561667],[0.75000081 0.25686663],[0.66405584 0.41038346]
[0.34999817 0.22522597],[0.7500009  0.25647593],[0.66405512 0.40999289]
[0.34999799 0.22481524],[0.75000099 0.2560652 ],[0.66405437 0.40958229]
[0.34999779 0.22438448],[0.75000109 0.25563444],[0.66405358 0.40915167]
[0.34999759 0.22393368],[0.75000119 0.25518364],[0.66405275 0.40870102]
[0.34999737 0.22346284],[0.7500013 0.2547128],[0.66405188 0.40823033]
[0.34999715 0.22297197],[0.75000141 0.25422192],[0.66405098 0.40773962]
[0.34999691 0.22246106],[0.75000152 0.25371102],[0.66405004 0.40722888]
[0.34999667 0.22193012],[0.75000164 0.25318007],[0.66404906 0.40669811]
[0.34999642 0.22137914],[0.75000177 0.25262909],[0.66404804 0.40614731]
[0.34999616 0.22080813],[0.7500019  0.25205808],[0.66404699 0.40557648]
[0.34999589 0.22021708],[0.75000203 0.25146703],[0.66404591 0.40498563]
[0.34999561 0.21960599],[0.75000217 0.25085594],[0.66404478 0.40437474]
[0.34999533 0.21897487],[0.75000231 0.25022482],[0.66404362 0.40374383]
[0.34999503 0.21832372],[0.75000246 0.24957366],[0.66404242 0.40309288]
[0.34999472 0.21765252],[0.75000261 0.24890246],[0.66404119 0.40242191]
[0.34999441 0.2169613 ],[0.75000276 0.24821124],[0.66403991 0.40173091]
[0.34999408 0.21625003],[0.75000292 0.24749997],[0.6640386  0.40101988]
[0.34999375 0.21551873],[0.75000309 0.24676867],[0.66403726 0.40028882]
[0.34999341 0.2147674 ],[0.75000326 0.24601733],[0.66403588 0.39953773]
[0.34999306 0.21399603],[0.75000343 0.24524596],[0.66403446 0.39876661]
[0.3499927  0.21320462],[0.75000361 0.24445455],[0.664033   0.39797546]
[0.34999233 0.21239318],[0.75000379 0.24364311],[0.66403151 0.39716428]
[0.34999195 0.21156171],[0.75000398 0.24281163],[0.66402998 0.39633308]
[0.34999156 0.21071019],[0.75000417 0.24196012],[0.66402841 0.39548184]
[0.34999116 0.20983865],[0.75000436 0.24108857],[0.6640268  0.39461058]
[0.34999076 0.20894706],[0.75000457 0.24019698],[0.66402516 0.39371929]
