0.5826550340819835,0.7129105525913457,1.0
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.34999965 0.22923279],[0.74999964 0.26048268],[0.66406212 0.41399832]
[0.34999859 0.22923188],[0.74999854 0.26048156],[0.66406098 0.41399718]
[0.34999684 0.22923037],[0.74999672 0.26047968],[0.66405908 0.41399528]
[0.34999438 0.22922825],[0.74999416 0.26047706],[0.66405642 0.41399261]
[0.34999121 0.22922552],[0.74999088 0.26047368],[0.66405299 0.41398919]
[0.34998734 0.22922219],[0.74998687 0.26046956],[0.66404881 0.41398501]
[0.34998277 0.22921826],[0.74998213 0.26046468],[0.66404387 0.41398006]
[0.3499775  0.22921372],[0.74997665 0.26045906],[0.66403817 0.41397436]
[0.34997152 0.22920858],[0.74997045 0.26045268],[0.6640317  0.41396789]
[0.34996484 0.22920283],[0.74996352 0.26044555],[0.66402448 0.41396067]
[0.34995746 0.22919647],[0.74995586 0.26043768],[0.66401649 0.41395268]
[0.34994938 0.22918951],[0.74994747 0.26042905],[0.66400775 0.41394394]
[0.34994059 0.22918194],[0.74993835 0.26041967],[0.66399824 0.41393443]
[0.3499311  0.22917377],[0.7499285  0.26040955],[0.66398798 0.41392416]
[0.3499209 0.229165 ],[0.74991792 0.26039867],[0.66397695 0.41391313]
[0.34991    0.22915561],[0.74990662 0.26038704],[0.66396517 0.41390134]
[0.3498984  0.22914563],[0.74989458 0.26037467],[0.66395262 0.41388879]
[0.3498861  0.22913504],[0.74988181 0.26036154],[0.66393931 0.41387548]
[0.34987309 0.22912384],[0.74986831 0.26034766],[0.66392524 0.41386141]
[0.34985938 0.22911204],[0.74985409 0.26033303],[0.66391042 0.41384658]
[0.34984497 0.22909963],[0.74983913 0.26031766],[0.66389483 0.41383098]
[0.34982985 0.22908661],[0.74982345 0.26030153],[0.66387848 0.41381463]
[0.34981403 0.229073  ],[0.74980703 0.26028465],[0.66386137 0.41379752]
[0.34979751 0.22905877],[0.74978989 0.26026702],[0.6638435  0.41377964]
[0.34978028 0.22904395],[0.74977201 0.26024865],[0.66382487 0.41376101]
[0.34976235 0.22902851],[0.74975341 0.26022952],[0.66380548 0.41374161]
[0.34974372 0.22901247],[0.74973408 0.26020964],[0.66378533 0.41372146]
[0.34972439 0.22899583],[0.74971402 0.26018901],[0.66376442 0.41370054]
[0.34970435 0.22897858],[0.74969322 0.26016764],[0.66374275 0.41367887]
[0.34968361 0.22896073],[0.7496717  0.26014551],[0.66372031 0.41365643]
[0.34966216 0.22894227],[0.74964945 0.26012263],[0.66369712 0.41363323]
[0.34964001 0.22892321],[0.74962647 0.260099  ],[0.66367317 0.41360927]
[0.34961716 0.22890354],[0.74960276 0.26007462],[0.66364846 0.41358455]
[0.34959361 0.22888326],[0.74957832 0.2600495 ],[0.66362298 0.41355908]
[0.34956936 0.22886239],[0.74955316 0.26002362],[0.66359675 0.41353284]
[0.3495444 0.2288409],[0.74952726 0.25999699],[0.66356976 0.41350584]
[0.34951873 0.22881881],[0.74950063 0.25996961],[0.663542   0.41347808]
[0.34949237 0.22879612],[0.74947327 0.25994149],[0.66351349 0.41344955]
[0.3494653  0.22877282],[0.74944519 0.25991261],[0.66348421 0.41342027]
[0.34943753 0.22874892],[0.74941637 0.25988298],[0.66345418 0.41339023]
[0.34940905 0.22872441],[0.74938683 0.2598526 ],[0.66342338 0.41335943]
[0.34937988 0.2286993 ],[0.74935655 0.25982148],[0.66339183 0.41332787]
[0.34935    0.22867358],[0.74932555 0.2597896 ],[0.66335951 0.41329554]
[0.34931941 0.22864726],[0.74929382 0.25975697],[0.66332644 0.41326246]
[0.34928813 0.22862033],[0.74926136 0.2597236 ],[0.6632926  0.41322862]
[0.34925614 0.2285928 ],[0.74922817 0.25968947],[0.66325801 0.41319401]
