1.0
 
[0.35       0.22923309],[0.75       0.26048306],[0.6640625 0.4139987]
[0.3499995  0.22923261],[0.75000036 0.26048257],[0.664062  0.4139982]
[0.34999801 0.22923117],[0.75000142 0.26048112],[0.6640605 0.4139967]
[0.34999551 0.22922878],[0.7500032  0.26047869],[0.66405801 0.4139942 ]
[0.34999202 0.22922542],[0.75000569 0.2604753 ],[0.66405451 0.4139907 ]
[0.34998753 0.2292211 ],[0.7500089  0.26047093],[0.66405002 0.4139862 ]
[0.34998205 0.22921583],[0.75001281 0.26046559],[0.66404453 0.4139807 ]
[0.34997556 0.2292096 ],[0.75001744 0.26045928],[0.66403805 0.4139742 ]
[0.34996808 0.22920241],[0.75002278 0.260452  ],[0.66403056 0.4139667 ]
[0.3499596  0.22919426],[0.75002883 0.26044375],[0.66402208 0.41395819]
[0.34995013 0.22918515],[0.75003559 0.26043453],[0.66401259 0.41394869]
[0.34993965 0.22917508],[0.75004307 0.26042434],[0.66400211 0.41393819]
[0.34992818 0.22916405],[0.75005126 0.26041318],[0.66399063 0.41392669]
[0.34991571 0.22915207],[0.75006016 0.26040105],[0.66397816 0.41391419]
[0.34990225 0.22913913],[0.75006978 0.26038795],[0.66396468 0.41390069]
[0.34988779 0.22912522],[0.7500801  0.26037388],[0.66395021 0.41388619]
[0.34987233 0.22911036],[0.75009115 0.26035883],[0.66393474 0.41387068]
[0.34985587 0.22909454],[0.7501029  0.26034282],[0.66391827 0.41385418]
[0.34983841 0.22907776],[0.75011537 0.26032584],[0.6639008  0.41383668]
[0.34981996 0.22906003],[0.75012855 0.26030788],[0.66388234 0.41381818]
[0.34980051 0.22904133],[0.75014245 0.26028896],[0.66386287 0.41379867]
[0.34978006 0.22902168],[0.75015706 0.26026906],[0.66384241 0.41377817]
[0.34975862 0.22900106],[0.75017239 0.2602482 ],[0.66382095 0.41375667]
[0.34973617 0.22897949],[0.75018843 0.26022636],[0.66379849 0.41373417]
[0.34971273 0.22895696],[0.75020519 0.26020355],[0.66377504 0.41371066]
[0.3496883  0.22893347],[0.75022266 0.26017978],[0.66375058 0.41368616]
[0.34966286 0.22890903],[0.75024085 0.26015503],[0.66372513 0.41366066]
[0.34963643 0.22888362],[0.75025976 0.26012931],[0.66369868 0.41363415]
[0.349609   0.22885726],[0.75027938 0.26010263],[0.66367123 0.41360665]
[0.34958057 0.22882993],[0.75029972 0.26007497],[0.66364278 0.41357815]
[0.34955115 0.22880165],[0.75032078 0.26004634],[0.66361334 0.41354864]
[0.34952072 0.22877242],[0.75034255 0.26001674],[0.66358289 0.41351814]
[0.3494893  0.22874222],[0.75036505 0.25998618],[0.66355145 0.41348664]
[0.34945689 0.22871106],[0.75038826 0.25995464],[0.66351901 0.41345413]
[0.34942347 0.22867895],[0.7504122  0.25992213],[0.66348558 0.41342063]
[0.34938906 0.22864588],[0.75043685 0.25988865],[0.66345114 0.41338612]
[0.34935365 0.22861185],[0.75046222 0.2598542 ],[0.66341571 0.41335062]
[0.34931725 0.22857686],[0.75048832 0.25981878],[0.66337927 0.41331412]
[0.34927984 0.22854092],[0.75051514 0.2597824 ],[0.66334184 0.41327661]
[0.34924144 0.22850402],[0.75054267 0.25974504],[0.66330342 0.41323811]
[0.34920204 0.22846616],[0.75057093 0.25970671],[0.66326399 0.4131986 ]
[0.34916165 0.22842734],[0.75059992 0.25966741],[0.66322357 0.4131581 ]
[0.34912026 0.22838756],[0.75062963 0.25962714],[0.66318214 0.41311659]
[0.34907787 0.22834683],[0.75066006 0.2595859 ],[0.66313972 0.41307409]
[0.34903448 0.22830514],[0.75069121 0.2595437 ],[0.6630963  0.41303058]
[0.34899009 0.22826249],[0.75072309 0.25950052],[0.66305189 0.41298608]
[0.34894471 0.22821889],[0.7507557  0.25945637],[0.66300647 0.41294057]
[0.34889833 0.22817432],[0.75078904 0.25941126],[0.66296006 0.41289407]
[0.34885095 0.22812881],[0.7508231  0.25936517],[0.66291265 0.41284656]
[0.34880258 0.22808233],[0.75085789 0.25931811],[0.66286424 0.41279806]
[0.34875321 0.2280349 ],[0.7508934  0.25927009],[0.66281483 0.41274855]
[0.34870284 0.2279865 ],[0.75092965 0.25922109],[0.66276443 0.41269805]
[0.34865147 0.22793716],[0.75096663 0.25917113],[0.66271302 0.41264654]
[0.34859911 0.22788685],[0.75100433 0.25912019],[0.66266062 0.41259404]
[0.34854575 0.22783559],[0.75104277 0.25906829],[0.66260722 0.41254053]
[0.34849139 0.22778337],[0.75108194 0.25901541],[0.66255282 0.41248602]
[0.34843604 0.2277302 ],[0.75112184 0.25896157],[0.66249743 0.41243052]
[0.34837969 0.22767607],[0.75116248 0.25890676],[0.66244103 0.41237401]
[0.34832234 0.22762098],[0.75120385 0.25885098],[0.66238364 0.41231651]
[0.34826399 0.22756494],[0.75124596 0.25879423],[0.66232525 0.412258  ]
[0.34820465 0.22750794],[0.7512888  0.25873651],[0.66226586 0.4121985 ]
[0.3481443  0.22744999],[0.75133238 0.25867782],[0.66220548 0.41213799]
[0.34808297 0.22739108],[0.75137669 0.25861816],[0.66214409 0.41207648]
