16
14
2
"['BLACK', 'BLACK', 'BLACK', 'GREEN', 'GRAY', 'BLACK', 'BLACK', 'BLACK', 'BLUE', 'GRAY', 'BLACK', 'BLACK', 'BLACK', 'BLACK', 'RED', 'RED']"
"[0.251 0.251 0.063 0.098 0.251 0.251 0.251 0.063 0.098 0.251 0.52  0.52
 0.301 0.301 0.039 0.086]"
"[[0.3   0.7   0.917]
 [0.3   0.88  0.917]
 [0.403 0.659 0.25 ]
 [0.364 0.738 0.   ]
 [0.202 0.78  0.917]
 [0.7   0.3   0.083]
 [0.7   0.48  0.083]
 [0.597 0.259 0.25 ]
 [0.636 0.338 0.   ]
 [0.798 0.38  0.083]
 [0.248 0.055 0.972]
 [0.742 0.055 0.028]
 [0.037 1.061 0.   ]
 [0.963 0.661 0.   ]
 [0.277 0.785 0.   ]
 [0.445 0.902 0.   ]]"
0.3,0.7,0.9166666,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3,0.88,0.9166666,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4032532,0.65883976,0.25,0.06324555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.36442506,0.7376041,0.0,0.09765625,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.20234746,0.7799978,0.9166666,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7,0.3,0.083333336,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7,0.48,0.083333336,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5967468,0.25883976,0.25,0.06324555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.63557494,0.33760408,0.0,0.09765625,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.7976526,0.37999785,0.083333336,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.24778649,0.054996602,0.97222227,0.5203845,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7422135,0.054996602,0.027777776,0.5203845,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.036746826,1.0611602,0.0,0.30066592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.96325326,0.66116023,0.0,0.30066592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.27734375,0.7850924,0.0,0.0390625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.4453125,0.9022799,0.0,0.0859375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3,0.7,0.9166666,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3,0.88,0.9166666,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4032532,0.65883976,0.25,0.06324555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.36442506,0.73345697,0.0,0.09765625,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.20258805,0.7798589,0.9166666,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7,0.3,0.083333336,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7,0.48,0.083333336,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5967468,0.25883976,0.25,0.06324555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.63557494,0.33345693,0.0,0.09765625,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.797412,0.37985897,0.083333336,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.24778649,0.054996602,0.97222227,0.5203845,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7422135,0.054996602,0.027777776,0.5203845,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.036746826,1.0611602,0.0,0.30066592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.96325326,0.66116023,0.0,0.30066592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.27734375,0.7809453,0.0,0.0390625,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.4453125,0.8981328,0.0,0.0859375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.3,0.7,0.9166666,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.3,0.88,0.9166666,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.4032532,0.65883976,0.25,0.06324555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.36680624,0.7300561,0.9921578,0.09765625,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.20274916,0.77976584,0.9166666,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7,0.3,0.083333336,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7,0.48,0.083333336,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5967468,0.25883976,0.25,0.06324555,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6331938,0.33005607,0.00784203,0.09765625,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.79725087,0.379766,0.083333336,0.25079873,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.24778649,0.054996602,0.97222227,0.5203845,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.7422135,0.054996602,0.027777776,0.5203845,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.036746826,1.0611602,0.0,0.30066592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.96325326,0.66116023,0.0,0.30066592,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
